"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12265","User is able to set Date manually","chromium","Tue Dec 10 15:03:18 UYT 2024","passed","Tue Dec 10 15:03:30 UYT 2024","Settings/General Settings/ > Set Time - ","settingsGeneralSettingsTests.spec.js","",""
"","10970","All the Table content is accurate","chromium","Tue Dec 10 14:58:36 UYT 2024","passed","Tue Dec 10 14:58:47 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","10770","Settings/Wifi/Change Password - Confirm with Only Confirm Key fullfilled","chromium","Tue Dec 10 15:03:02 UYT 2024","passed","Tue Dec 10 15:03:13 UYT 2024","","settingsWifiTests.spec.js","",""
"","13340","Updating password should display informative message","chromium","Tue Dec 10 15:01:10 UYT 2024","failed","Tue Dec 10 15:01:23 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","12166","All elements are correctly displayed","chromium","Tue Dec 10 09:13:44 UYT 2024","passed","Tue Dec 10 09:13:57 UYT 2024","Settings/Firewall - ","settingsFirewallTests.spec.js","",""
"","12856","Settings/Wifi - All labels has the correct text","chromium","Tue Dec 10 15:01:43 UYT 2024","passed","Tue Dec 10 15:01:55 UYT 2024","","settingsWifiTests.spec.js","",""
"","14189","Lighticians web is correctly access when clicking the link","chromium","Tue Dec 10 15:02:46 UYT 2024","passed","Tue Dec 10 15:03:01 UYT 2024","Settings/General Settings/ > Update Software - ","settingsGeneralSettingsTests.spec.js","",""
"","11085","Cancel button close the software update modal as expected","chromium","Tue Dec 10 15:02:24 UYT 2024","passed","Tue Dec 10 15:02:35 UYT 2024","Settings/General Settings/ > Update Software - ","settingsGeneralSettingsTests.spec.js","",""
"","11494","Addressing Mode - selecting DHCP will disappear (IP Address, Netmask, Gateway) fields","chromium","Tue Dec 10 09:15:24 UYT 2024","passed","Tue Dec 10 09:15:35 UYT 2024","Settings/Internet - ","settingsInternetTests.spec.js","",""
"","6769","Step 1 - Team creation with generation Key allow to move to Step2 screen","chromium","Tue Dec 10 14:58:53 UYT 2024","skipped","Tue Dec 10 14:59:00 UYT 2024","Getting Started Tests > Create a New Team Tests","gettingStartedTest.spec.js","",""
"","10914","Table contains at least 1 device","chromium","Tue Dec 10 15:01:58 UYT 2024","passed","Tue Dec 10 15:02:09 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11263","Settings/Lighting - Hovering restart all system button will display a description","chromium","Tue Dec 10 15:00:46 UYT 2024","passed","Tue Dec 10 15:00:57 UYT 2024","","settingsLightingTests.spec.js","",""
"","11705","Hovering forget button in each slyyd devices should display a message","chromium","Tue Dec 10 09:17:24 UYT 2024","passed","Tue Dec 10 09:17:35 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","13703","Pressing Confirm button with empty fields should trigger an error message","chromium","Tue Dec 10 09:16:04 UYT 2024","failed","Tue Dec 10 09:16:18 UYT 2024","Settings/Wifi > Change Password Modal - ","settingsWifiTests.spec.js","",""
"","12441","User is able to collaps and hide logs using the arrow button","chromium","Tue Dec 10 09:16:39 UYT 2024","passed","Tue Dec 10 09:16:51 UYT 2024","System Logs Tests","settingSystemLogsTests.spec.js","",""
"","14896","Lighticians web is correctly access when clicking the link","chromium","Tue Dec 10 15:07:33 UYT 2024","failed","Tue Dec 10 15:07:48 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11360","All elements are correctly displayed","chromium","Tue Dec 10 09:14:34 UYT 2024","passed","Tue Dec 10 09:14:45 UYT 2024","Settings/Lighting","settingsLightingTests.spec.js","",""
"","10924","Trying to change password with empty fields should display inline error message","chromium","Tue Dec 10 15:00:11 UYT 2024","passed","Tue Dec 10 15:00:22 UYT 2024","Settings/General Settings/ > Change Password - ","settingsGeneralSettingsTests.spec.js","",""
"","15928","Refreshing device list will display spinner","chromium","Tue Dec 10 15:02:42 UYT 2024","passed","Tue Dec 10 15:02:58 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","16689","Update software version modal is correctly displayed","chromium","Tue Dec 10 15:06:40 UYT 2024","failed","Tue Dec 10 15:06:57 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11578","User is able to restart framerate to default values","chromium","Tue Dec 10 09:15:09 UYT 2024","passed","Tue Dec 10 09:15:21 UYT 2024","Settings/Lighting","settingsLightingTests.spec.js","",""
"","2","Dashboard - All Reboot modal elements are displayed","chromium","Tue Dec 10 14:59:07 UYT 2024","skipped","Tue Dec 10 14:59:07 UYT 2024","","networkTopologyTests.spec.js","",""
"","11399","Navigate to Ports screen","chromium","Tue Dec 10 09:13:43 UYT 2024","passed","Tue Dec 10 09:13:54 UYT 2024","Menu Bar Tests","menuBarTest.spec.js","",""
"","11957","X button should close the software update modal as expected","chromium","Tue Dec 10 09:20:29 UYT 2024","passed","Tue Dec 10 09:20:41 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","15189","Lighticians web is correctly access when clicking the SLYYD link","chromium","Tue Dec 10 09:21:07 UYT 2024","failed","Tue Dec 10 09:21:22 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","13428","Table is correctly displayed","chromium","Tue Dec 10 09:13:57 UYT 2024","passed","Tue Dec 10 09:14:10 UYT 2024","Settings/Firewall - ","settingsFirewallTests.spec.js","",""
"","11914","Dashboard - All elements are correctly displayed","chromium","Tue Dec 10 14:58:38 UYT 2024","failed","Tue Dec 10 14:58:50 UYT 2024","","dashboardTests.spec.js","",""
"","9485","Notifications - Close Notifications Window","chromium","Tue Dec 10 14:59:22 UYT 2024","failed","Tue Dec 10 14:59:32 UYT 2024","","notificationTests.spec.js","",""
"","13181","System Logs - Searching logs on list","chromium","Tue Dec 10 15:02:42 UYT 2024","passed","Tue Dec 10 15:02:55 UYT 2024","","settingSystemLogsTests.spec.js","",""
"","100039","Replacing IP modal is displayed as expected","chromium","Tue Dec 10 15:03:56 UYT 2024","broken","Tue Dec 10 15:05:36 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
"","11424","Menu Bar - Navigate to Ports screen","chromium","Tue Dec 10 14:59:34 UYT 2024","passed","Tue Dec 10 14:59:45 UYT 2024","","menuBarTest.spec.js","",""
"","22077","Editing Device name","chromium","Tue Dec 10 09:15:01 UYT 2024","skipped","Tue Dec 10 09:15:23 UYT 2024","Client Devices -  > Renew DHCP - ","clientdevicesTest.spec.js","",""
"","11993","System Logs - Collapsing arrow button will hide all logs","chromium","Tue Dec 10 15:02:29 UYT 2024","passed","Tue Dec 10 15:02:41 UYT 2024","","settingSystemLogsTests.spec.js","",""
"","10989","All links on menu are correctly displayed","chromium","Tue Dec 10 09:12:56 UYT 2024","passed","Tue Dec 10 09:13:07 UYT 2024","Menu Bar Tests","menuBarTest.spec.js","",""
"","10863","Ports - All elements are visibles","chromium","Tue Dec 10 14:59:15 UYT 2024","passed","Tue Dec 10 14:59:26 UYT 2024","","portsTests.spec.js","",""
"","16730","Editing Device name","chromium","Tue Dec 10 15:00:27 UYT 2024","failed","Tue Dec 10 15:00:43 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","11404","Settings/Lighting - Restart framerate to default values","chromium","Tue Dec 10 15:01:09 UYT 2024","passed","Tue Dec 10 15:01:20 UYT 2024","","settingsLightingTests.spec.js","",""
"","10894","Settings/Internet/Addressing Mode - selecting DHCP will disappear (IP Address, Netmask, Gateway) fields","chromium","Tue Dec 10 15:01:30 UYT 2024","passed","Tue Dec 10 15:01:40 UYT 2024","","settingsInternetTests.spec.js","",""
"","19220","System Logs - All elements are correctly visibles","chromium","Tue Dec 10 15:01:41 UYT 2024","passed","Tue Dec 10 15:02:00 UYT 2024","","settingSystemLogsTests.spec.js","",""
"","14242","Logout from Operative System","chromium","Tue Dec 10 09:14:19 UYT 2024","passed","Tue Dec 10 09:14:33 UYT 2024","Menu Bar Tests","menuBarTest.spec.js","",""
"","13936","Menu Bar - Logout from Operative System","chromium","Tue Dec 10 15:00:09 UYT 2024","passed","Tue Dec 10 15:00:23 UYT 2024","","menuBarTest.spec.js","",""
"","11500","When disabling DNS SERVER AUTO mode inputs are enabled to edition","chromium","Tue Dec 10 09:14:47 UYT 2024","passed","Tue Dec 10 09:14:59 UYT 2024","Settings/Internet - ","settingsInternetTests.spec.js","",""
"","11202","Navigate to Settings screen","chromium","Tue Dec 10 09:13:55 UYT 2024","failed","Tue Dec 10 09:14:06 UYT 2024","Menu Bar Tests","menuBarTest.spec.js","",""
"","10941","Settings/Lighting - Edition on framerate is correctly saved","chromium","Tue Dec 10 15:01:21 UYT 2024","passed","Tue Dec 10 15:01:32 UYT 2024","","settingsLightingTests.spec.js","",""
"","11447","Settings/Internet - All displayed texts are correct","chromium","Tue Dec 10 15:00:33 UYT 2024","passed","Tue Dec 10 15:00:45 UYT 2024","","settingsInternetTests.spec.js","",""
"","16348","Renew DHCP message modal is correctly displayed","chromium","Tue Dec 10 14:58:59 UYT 2024","failed","Tue Dec 10 14:59:16 UYT 2024","Client Devices - ","clientdevicesTest.spec.js","",""
"","11740","X button close the Replace IP modal","chromium","Tue Dec 10 15:05:48 UYT 2024","passed","Tue Dec 10 15:06:00 UYT 2024","Slyyd Devices - ","slyydDevicesTests.spec.js","",""
