"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11300","User is able to download the backups listed","chromium","Fri Dec 13 20:32:42 UYT 2024","passed","Fri Dec 13 20:32:54 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","10443","User is able to navigate to Ports screen","chromium","Fri Dec 13 20:33:40 UYT 2024","passed","Fri Dec 13 20:33:51 UYT 2024","","menuBarTest.spec.js","",""
"","6423","All elements are correctly displayed in the Step 2 screen","chromium","Fri Dec 13 20:33:03 UYT 2024","skipped","Fri Dec 13 20:33:10 UYT 2024","Create a New Team Tests > Tests on Step 2 screen","gettingStartedTest.spec.js","",""
"","20488","Renew DHCP button will refresh the device IP address","chromium","Fri Dec 13 20:31:08 UYT 2024","skipped","Fri Dec 13 20:31:29 UYT 2024","","clientDevicesRenewDHCPTests.spec.js","",""
"","12153","Creating backup without entering any name should granted a Slyyd name by default","chromium","Fri Dec 13 20:31:42 UYT 2024","passed","Fri Dec 13 20:31:54 UYT 2024","","GeneralSettingsTests/CreateBackup.spec.js","",""
"","10845","In Slyyd Devices screen all devices are correctly displayed in the table","chromium","Fri Dec 13 20:34:58 UYT 2024","passed","Fri Dec 13 20:35:09 UYT 2024","","slyydDevicesTests.spec.js","",""
"","12286","In Client Devices all elements are correctly displayed","chromium","Fri Dec 13 20:30:26 UYT 2024","passed","Fri Dec 13 20:30:38 UYT 2024","","clientdevicesTest.spec.js","",""
"","6887","Login - Error message is displayed when login with Wrong Credentials","chromium","Fri Dec 13 20:33:00 UYT 2024","passed","Fri Dec 13 20:33:07 UYT 2024","","loginTests.spec.js","",""
"","20565","Checkbox in Renew DHCP modal will enable Reserve DHCP address input","chromium","Fri Dec 13 20:31:29 UYT 2024","skipped","Fri Dec 13 20:31:49 UYT 2024","","clientDevicesRenewDHCPTests.spec.js","",""
"","0","Dashboard - All Reboot modal elements are displayed","chromium","Fri Dec 13 20:33:27 UYT 2024","skipped","Fri Dec 13 20:33:27 UYT 2024","","networkTopologyTests.spec.js","",""
"","11264","User is able to collaps and hide logs using the arrow button","chromium","Fri Dec 13 20:35:04 UYT 2024","failed","Fri Dec 13 20:35:15 UYT 2024","","settingSystemLogsTests.spec.js","",""
"","6383","Disabling router functions will display a warning message in the Step 1 screen","chromium","Fri Dec 13 20:32:51 UYT 2024","skipped","Fri Dec 13 20:32:57 UYT 2024","Create a New Team Tests","gettingStartedTest.spec.js","",""
"","10556","User is able to navigate to Slyyd Devices screen","chromium","Fri Dec 13 20:33:19 UYT 2024","passed","Fri Dec 13 20:33:30 UYT 2024","","menuBarTest.spec.js","",""
"","6581","Step 1 screen do not allow user to continue to the next screen with empty fields","chromium","Fri Dec 13 20:32:44 UYT 2024","skipped","Fri Dec 13 20:32:51 UYT 2024","Create a New Team Tests","gettingStartedTest.spec.js","",""
"","10495","DNS SERVER inputs in Internet screen are displayed as disabled by default","chromium","Fri Dec 13 20:33:45 UYT 2024","passed","Fri Dec 13 20:33:56 UYT 2024","","settingsInternetTests.spec.js","",""
"","10547","Cancel button should close the modal","chromium","Fri Dec 13 20:35:48 UYT 2024","passed","Fri Dec 13 20:35:59 UYT 2024","","settingsWifiTests.spec.js","",""
"","10824","Entering password only in new password input should display inline error message","chromium","Fri Dec 13 20:31:32 UYT 2024","passed","Fri Dec 13 20:31:43 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","10549","Adding differents passwords on input fields in Change Password Modal should display inline error message","chromium","Fri Dec 13 20:31:11 UYT 2024","passed","Fri Dec 13 20:31:21 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","21826","Renew DHCP modal is correctly displayed","chromium","Fri Dec 13 20:30:26 UYT 2024","skipped","Fri Dec 13 20:30:47 UYT 2024","","clientDevicesRenewDHCPTests.spec.js","",""
"","10676","Update software button is disable while nothing is uploaded","chromium","Fri Dec 13 20:32:52 UYT 2024","passed","Fri Dec 13 20:33:02 UYT 2024","","GeneralSettingsTests/SoftwareUpdate.spec.js","",""
"","7119","All elements are correctly displayed in Getting Started screen","chromium","Fri Dec 13 20:32:30 UYT 2024","skipped","Fri Dec 13 20:32:37 UYT 2024","","gettingStartedTest.spec.js","",""
"","10780","Cancel button close the software update modal as expected","chromium","Fri Dec 13 20:32:41 UYT 2024","passed","Fri Dec 13 20:32:52 UYT 2024","","GeneralSettingsTests/SoftwareUpdate.spec.js","",""
"","10646","Clicking on Device name should prompt device info modal","chromium","Fri Dec 13 20:35:09 UYT 2024","passed","Fri Dec 13 20:35:19 UYT 2024","","slyydDevicesTests.spec.js","",""
"","11106","Cancel button in Change Password Modal should close the modal","chromium","Fri Dec 13 20:30:38 UYT 2024","passed","Fri Dec 13 20:30:49 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","10504","Pressing Confirm button with all fields empty except Confirm Key input should trigger an error message","chromium","Fri Dec 13 20:35:27 UYT 2024","passed","Fri Dec 13 20:35:38 UYT 2024","","settingsWifiTests.spec.js","",""
"","8850","User is able to see all elements in Notification screen correctly displayed","chromium","Fri Dec 13 20:33:16 UYT 2024","passed","Fri Dec 13 20:33:25 UYT 2024","","notificationTests.spec.js","",""
"","1626","Login - See Password button reveals password text as expected","chromium","Fri Dec 13 20:33:20 UYT 2024","passed","Fri Dec 13 20:33:22 UYT 2024","","loginTests.spec.js","",""
"","13426","User is able to logout from Slyyd Operative System","chromium","Fri Dec 13 20:34:10 UYT 2024","passed","Fri Dec 13 20:34:23 UYT 2024","","menuBarTest.spec.js","",""
"","12272","In Change Password Modal all elements are correctly visibles","chromium","Fri Dec 13 20:30:26 UYT 2024","passed","Fri Dec 13 20:30:38 UYT 2024","","GeneralSettingsTests/ChangePassword.spec.js","",""
"","10510","User is able to edit framerate and save it","chromium","Fri Dec 13 20:34:26 UYT 2024","passed","Fri Dec 13 20:34:36 UYT 2024","","settingsLightingTests.spec.js","",""
"","6480","Login - Session correctly open when Remembering Credentials","chromium","Fri Dec 13 20:33:13 UYT 2024","passed","Fri Dec 13 20:33:20 UYT 2024","","loginTests.spec.js","",""
"","11158","User is able to restart framerate to default values","chromium","Fri Dec 13 20:34:15 UYT 2024","passed","Fri Dec 13 20:34:26 UYT 2024","","settingsLightingTests.spec.js","",""
"","10547","Filtering Slyyd devices by status should display all correct devices","chromium","Fri Dec 13 20:36:07 UYT 2024","passed","Fri Dec 13 20:36:17 UYT 2024","","slyydDevicesTests.spec.js","",""
"","10745","In Settings/Network screen all labels are correctly displayed","chromium","Fri Dec 13 20:34:10 UYT 2024","passed","Fri Dec 13 20:34:21 UYT 2024","","settingsNetworkTests.spec.js","",""
"","11439","Update software button is disable while nothing is uploaded","chromium","Fri Dec 13 20:38:14 UYT 2024","passed","Fri Dec 13 20:38:25 UYT 2024","","slyydDevicesTests.spec.js","",""
"","20451","User is able to add a reserve IP address","chromium","Fri Dec 13 20:31:49 UYT 2024","skipped","Fri Dec 13 20:32:10 UYT 2024","","clientDevicesRenewDHCPTests.spec.js","",""
"","10754","Dashboard - All elements correctly displayed","chromium","Fri Dec 13 20:33:16 UYT 2024","passed","Fri Dec 13 20:33:27 UYT 2024","","networkTopologyTests.spec.js","",""
"","10527","Filtering slyyd devices using buttons should display all correct devices","chromium","Fri Dec 13 20:35:56 UYT 2024","passed","Fri Dec 13 20:36:07 UYT 2024","","slyydDevicesTests.spec.js","",""
"","10505","Pressing Confirm button with all fields empty except Current Key input should trigger an error message","chromium","Fri Dec 13 20:35:06 UYT 2024","passed","Fri Dec 13 20:35:16 UYT 2024","","settingsWifiTests.spec.js","",""
"","6742","All elements are correctly displayed in the Dashboard","chromium","Fri Dec 13 20:30:41 UYT 2024","passed","Fri Dec 13 20:30:47 UYT 2024","","dashboardTests.spec.js","",""
"","6462","All elements are correctly displayed in Join an existing team screen","chromium","Fri Dec 13 20:33:10 UYT 2024","skipped","Fri Dec 13 20:33:16 UYT 2024","","gettingStartedTest.spec.js","",""
"","10587","Ports - All elements attributes are correct","chromium","Fri Dec 13 20:33:32 UYT 2024","passed","Fri Dec 13 20:33:43 UYT 2024","","portsTests.spec.js","",""
"","10664","User is able to navigate to Network Topology screen","chromium","Fri Dec 13 20:33:08 UYT 2024","passed","Fri Dec 13 20:33:19 UYT 2024","","menuBarTest.spec.js","",""
"","10750","Cancel button should close Import Settings modal","chromium","Fri Dec 13 20:31:43 UYT 2024","passed","Fri Dec 13 20:31:54 UYT 2024","","GeneralSettingsTests/ImportSettings.spec.js","",""
"","11666","Cancel button should close the Replace IP modal","chromium","Fri Dec 13 20:36:40 UYT 2024","passed","Fri Dec 13 20:36:51 UYT 2024","","slyydDevicesTests.spec.js","",""
"","11404","Replacing IP modal is displayed as expected","chromium","Fri Dec 13 20:36:28 UYT 2024","passed","Fri Dec 13 20:36:40 UYT 2024","","slyydDevicesTests.spec.js","",""
